"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","cell_type"
"GO:0008366","axon ensheathment","30/1899","156/17012",0.192307692307692,1.72276906874063,3.21467194295297,0.00202022134997216,0.0225000225161021,0.0179944987259473,"JAM2/ITGB4/EPB41L3/CLU/ADGRG6/MALL/CLDN5/ARHGEF10/PMP22/ACER3/RARB/QKI/JAM3/LARGE1/PPP3R1/PLEC/SKI/SBF2/NDRG1/ATRN/CTSC/MAPK3/SOS1/CTNNB1/MTMR2/NF1/B4GALT5/HEXA/PPARD/CMTM8",30,"ACKR1+ endothelial"
"GO:0050817","coagulation","43/1899","247/17012",0.174089068825911,1.55955936749152,3.14011050522453,0.00206051169777707,0.0229050405109085,0.0183184137703128,"MMRN1/SELP/VWF/PLAT/PRRG1/THBD/NOS3/ENTPD1/PROCR/F8/FAP/TLR4/TFPI/TSPAN9/STXBP1/GNAQ/FZD6/SERPINE1/PROS1/ITGA2/CD59/GAS6/DGKH/IL6ST/CD40/CAV1/VAV2/EDN1/ANO6/PLSCR1/PLCG2/ADGRG1/ITPR3/JAK2/DGKE/SH2B3/ANXA2/JMJD1C/SERPING1/MYH9/F2R/DTNBP1/AP3B1",43,"ACKR1+ endothelial"
"GO:0002218","activation of innate immune response","56/1899","342/17012",0.16374269005848,1.46687237665869,3.09168682659822,0.00210983595950352,0.0233951969049058,0.0187104186494629,"MAPK11/IRAK3/TLR4/NOD1/IFI16/LY96/OAS3/FBXL2/DAB2IP/TRIM25/IFIH1/ALPK1/CAV1/APP/CARD8/ZNRF1/IKBKB/NAIP/ERBIN/ANKRD17/FOSL1/LATS2/PLCG2/TRIM5/TRIM56/DDX60/PRKCE/ZNFX1/SEC14L1/EIF2AK2/PCBP2/RPS6KA3/CASP4/RNF144A/OTUD4/NLRP1/CPT1A/MFHAS1/RAB13/TBK1/SIN3A/CGAS/DPP8/RICTOR/WDFY1/RNF115/MAVS/TIFA/PUM1/CREBBP/AP3B1/APPL1/NEK9/ZC3HAV1/WASHC4/NPLOC4",56,"ACKR1+ endothelial"
"GO:0002688","regulation of leukocyte chemotaxis","25/1899","123/17012",0.203252032520325,1.82081283688034,3.23852154920764,0.00211262316122093,0.0233951969049058,0.0187104186494629,"MMP28/VEGFC/SERPINE1/SWAP70/MCU/GAS6/CCL2/APP/EDN1/ANO6/PTK2/MTUS1/LGALS9/JAM3/CD74/SLC8B1/MAPK3/ADAM17/PTK2B/RIN3/ADAM10/NEDD9/RAC1/CSF1/WNK1",25,"ACKR1+ endothelial"
"GO:0048813","dendrite morphogenesis","28/1899","143/17012",0.195804195804196,1.75409214271774,3.20996153861729,0.00212709078500344,0.0235107989039395,0.0188028718913581,"SHANK3/PREX2/NEDD4/FZD4/KLF7/TAOK2/NRP1/EPHA4/HECW2/MEF2A/PHACTR1/PICALM/TANC2/BTBD3/DBN1/STAU2/GSK3B/ABI3/MINK1/TRAK1/DTNBP1/EEF2K/RAPGEF2/KIDINS220/RERE/CUX1/RAC1/ITGB1",28,"ACKR1+ endothelial"
"GO:0014896","muscle hypertrophy","20/1899","91/17012",0.21978021978022,1.96887893570358,3.28495376218411,0.00217389873969514,0.0239827467766746,0.0191803144200742,"APLNR/LMCD1/ACACB/NOTCH1/FOXO1/MEF2A/IL6ST/ARRB1/TNFRSF1A/RYR2/EDN1/ROCK2/FOXP1/ATP2B4/INPP5F/HDAC4/SORBS2/SMAD3/LMNA/RAP1GDS1",20,"ACKR1+ endothelial"
"GO:0051209","release of sequestered calcium ion into cytosol","26/1899","130/17012",0.2,1.79167983149026,3.21189524787978,0.00221014704074299,0.0242080376767472,0.01936049187596,"RYR3/APLNR/CLIC2/PLCB4/PLCB1/CACNA1C/ASPH/RYR2/SELENON/FKBP1A/CHD7/PKD2/PLCG2/SLC8A1/ITPR3/PRKCE/SLC8B1/CX3CL1/PTK2B/PLCG1/F2R/ABL1/ITPR1/PDE4D/HTT/PRKACA",26,"ACKR1+ endothelial"
"GO:0002347","response to tumor cell","13/1899","49/17012",0.26530612244898,2.37671814381361,3.420927013553,0.00221091228267757,0.0242080376767472,0.01936049187596,"ADAM15/TNFRSF10B/RBMS3/NOTCH1/DAPK1/NECTIN2/KLF4/TXNIP/PVR/HLA-DRB1/MAPK3/ABI3/AHR",13,"ACKR1+ endothelial"
"GO:1902116","negative regulation of organelle assembly","13/1899","49/17012",0.26530612244898,2.37671814381361,3.420927013553,0.00221091228267757,0.0242080376767472,0.01936049187596,"TBC1D30/LUZP1/KAT2A/FEZ2/MTM1/LIMK2/ODF2L/NBDY/PINK1/LIMA1/CDK10/USP9X/YAP1",13,"ACKR1+ endothelial"
"GO:1905314","semi-lunar valve development","13/1899","49/17012",0.26530612244898,2.37671814381361,3.420927013553,0.00221091228267757,0.0242080376767472,0.01936049187596,"TIE1/NOS3/BMPR2/TGFBR2/ROBO1/SNAI1/NOTCH1/DLL4/TNFRSF1A/ELN/ROCK2/RB1/NFATC1",13,"ACKR1+ endothelial"
"GO:0042325","regulation of phosphorylation","67/1899","425/17012",0.157647058823529,1.41226527893938,3.05098003809344,0.00221526933574191,0.0242103218041008,0.0193623186175432,"LDB2/RASIP1/CNKSR3/HEG1/FLT4/CARD10/SASH1/SPHK1/IL15/FBN1/FLT1/TPD52L1/GRB10/GPRC5B/HIPK3/KDR/NRP1/TNFRSF10B/PRKN/GAS6/KSR1/FGFR1/PELI2/PARP14/ARRB1/PRR5L/MAP3K11/PTK2/ENPP2/LATS2/CCDC88A/JAK2/EMP2/RB1/PIBF1/CORO1C/CD74/ARHGEF2/TNFRSF10A/FER/HLA-DRB1/HERC5/STAT2/PILRB/ADARB1/LIMCH1/PTK2B/CDC37/APC/HES1/CCNY/TRIB2/UVRAG/NLRC5/CCNYL1/PHIP/CNOT9/NEDD9/ATG14/RAPGEF2/TCIM/MVP/SDCBP/CDKN1A/PARP9/RAC1/NSD1",67,"ACKR1+ endothelial"
"GO:0031114","regulation of microtubule depolymerization","11/1899","38/17012",0.289473684210526,2.5932208087359,3.48520022081662,0.00224073904065496,0.0243973004501163,0.0195118556682327,"NAV3/HDGFL3/BMERB1/CAMSAP2/GAS2L1/ARHGEF2/TAOK1/MID1/APC/TTBK2/CLASP1",11,"ACKR1+ endothelial"
"GO:0071539","protein localization to centrosome","11/1899","38/17012",0.289473684210526,2.5932208087359,3.48520022081662,0.00224073904065496,0.0243973004501163,0.0195118556682327,"DISC1/PIBF1/STK3/MCPH1/CEP192/APC/GSK3B/RAB11A/NUDCD3/BICD1/RAB11FIP3",11,"ACKR1+ endothelial"
"GO:0045088","regulation of innate immune response","76/1899","494/17012",0.153846153846154,1.37821525499251,3.02395865381808,0.00229308651504869,0.0249146456380351,0.0199256049130709,"MAPK11/IRAK3/TLR4/NOD1/IFI16/CFH/LY96/OAS3/A2M/FBXL2/DAB2IP/TRIM25/IFIH1/ALPK1/PARP14/CAV1/APP/CARD8/ZNRF1/NECTIN2/IKBKB/RALB/NAIP/LGALS9/PLSCR1/ERBIN/ANKRD17/FOSL1/LATS2/PLCG2/TRIM5/TRIM56/DDX60/PRKCE/ZNFX1/SEC14L1/EIF2AK2/PVR/PCBP2/RPS6KA3/CASP4/CRK/RNF144A/STAT2/OTUD4/NLRP1/CPT1A/SERPING1/MFHAS1/CDC37/RAB13/TBK1/HLA-E/SIN3A/CGAS/NLRC5/PIK3C3/DPP8/STAT5A/RICTOR/WDFY1/RNF115/INPP5D/MAVS/TIFA/PUM1/CREBBP/AP3B1/GIGYF2/APPL1/STAT5B/NEK9/ZC3HAV1/PARP9/WASHC4/NPLOC4",76,"ACKR1+ endothelial"
